IndicatorID,Year,YearRange,Quarter,Month,AgeID,SexID,AreaCode,Count,Value,ExpectedValue,LowerCI,UpperCI,Denominator,Denominator_2,ValueNoteID,categorytypeid,categoryid
10101,2006,1,-1,-1,169,4,E92000001,82460,12.31978247,-1,12.2412614,12.39873605,669330,-1,0,3,8
10101,2007,1,-1,-1,169,4,E92000001,83890,12.50680204,-1,12.42785294,12.58618059,670755,-1,0,3,8
10101,2008,1,-1,-1,169,4,E92000001,82090,12.27789411,-1,12.1994458,12.35677588,668600,-1,0,3,8
10101,2009,1,-1,-1,169,4,E92000001,88900,13.18130597,-1,13.10078056,13.2622508,674440,-1,0,3,8
10101,2010,1,-1,-1,169,4,E92000001,85980,12.76283074,-1,12.68336342,12.84272273,673675,-1,0,3,8
10101,2011,1,-1,-1,169,4,E92000001,83895,12.44372919,-1,12.36515254,12.52273381,674195,-1,0,3,8
10101,2006,1,-1,-1,169,4,E92000001,81190,11.31544288,-1,11.24235185,11.38894813,717515,-1,0,3,9
10101,2007,1,-1,-1,169,4,E92000001,82040,11.40664322,-1,11.33338202,11.48031667,719230,-1,0,3,9
10101,2008,1,-1,-1,169,4,E92000001,81075,11.27372593,-1,11.20083592,11.34702966,719150,-1,0,3,9
10101,2009,1,-1,-1,169,4,E92000001,87860,12.08411845,-1,12.00939812,12.15923942,727070,-1,0,3,9
10101,2010,1,-1,-1,169,4,E92000001,85690,11.75470003,-1,11.68096814,11.82883499,728985,-1,0,3,9
10101,2011,1,-1,-1,169,4,E92000001,83860,11.46450665,-1,11.39169853,11.53771951,731475,-1,0,3,9
10101,2006,1,-1,-1,169,4,E92000001,366905,39.24915223,-1,39.15020971,39.34818312,934810,-1,0,2,1
10101,2007,1,-1,-1,169,4,E92000001,375845,40.48963103,-1,40.38981236,40.58952841,928250,-1,0,2,1
10101,2008,1,-1,-1,169,4,E92000001,353430,37.69759157,-1,37.59954366,37.7957403,937540,-1,0,2,1
10101,2009,1,-1,-1,169,4,E92000001,349015,36.26638542,-1,36.1703866,36.36249387,962365,-1,0,2,1
10101,2010,1,-1,-1,169,4,E92000001,333835,34.30616429,-1,34.21190362,34.40054886,973105,-1,0,2,1
10101,2011,1,-1,-1,169,4,E92000001,324235,32.98473527,-1,32.89185864,33.07774489,982985,-1,0,2,1
10101,2006,1,-1,-1,169,4,E92000001,136195,11.85015357,-1,11.79119264,11.90936953,1149310,-1,0,2,10
10101,2007,1,-1,-1,169,4,E92000001,138250,12.00039929,-1,11.94118541,12.05986658,1152045,-1,0,2,10
10101,2008,1,-1,-1,169,4,E92000001,135950,11.78096674,-1,11.72227453,11.8399134,1153980,-1,0,2,10
10101,2009,1,-1,-1,169,4,E92000001,146895,12.55287512,-1,12.4929691,12.613027,1170210,-1,0,2,10
10101,2010,1,-1,-1,169,4,E92000001,142850,12.15677431,-1,12.09781255,12.21598349,1175065,-1,0,2,10
10101,2011,1,-1,-1,169,4,E92000001,139835,11.83783349,-1,11.77969983,11.89621535,1181255,-1,0,2,10
10101,2006,1,-1,-1,169,4,E92000001,246815,33.10486819,-1,32.99813576,33.21177472,745555,-1,0,2,2
10101,2007,1,-1,-1,169,4,E92000001,254535,34.2103141,-1,34.10259797,34.31819328,744030,-1,0,2,2
10101,2008,1,-1,-1,169,4,E92000001,242385,32.23526283,-1,32.12971383,32.34099333,751925,-1,0,2,2
10101,2009,1,-1,-1,169,4,E92000001,243800,31.54333327,-1,31.43982833,31.64702167,772905,-1,0,2,2
10101,2010,1,-1,-1,169,4,E92000001,235650,30.07811503,-1,29.97666487,30.17976055,783460,-1,0,2,2
10101,2011,1,-1,-1,169,4,E92000001,232350,29.33064033,-1,29.23048394,29.43099717,792175,-1,0,2,2
10101,2006,1,-1,-1,169,4,E92000001,176870,26.99604683,-1,26.88868543,27.10367799,655170,-1,0,2,3
10101,2007,1,-1,-1,169,4,E92000001,180720,27.83969683,-1,27.73079504,27.9488609,649145,-1,0,2,3
10101,2008,1,-1,-1,169,4,E92000001,173865,26.81219206,-1,26.70451105,26.92014779,648455,-1,0,2,3
10101,2009,1,-1,-1,169,4,E92000001,177650,27.05666441,-1,26.94934241,27.16425488,656585,-1,0,2,3
10101,2010,1,-1,-1,169,4,E92000001,172485,26.2822271,-1,26.17587324,26.38885861,656280,-1,0,2,3
10101,2011,1,-1,-1,169,4,E92000001,170125,25.8426881,-1,25.73707968,25.94857844,658310,-1,0,2,3
10101,2006,1,-1,-1,169,4,E92000001,209210,25.41994982,-1,25.32599648,25.51413261,823015,-1,0,2,4
10101,2007,1,-1,-1,169,4,E92000001,215995,26.31005165,-1,26.21491549,26.40540951,820960,-1,0,2,4
10101,2008,1,-1,-1,169,4,E92000001,210625,25.47410561,-1,25.38030239,25.56813673,826820,-1,0,2,4
10101,2009,1,-1,-1,169,4,E92000001,215195,25.56033305,-1,25.46726943,25.6536197,841910,-1,0,2,4
10101,2010,1,-1,-1,169,4,E92000001,209080,24.71365587,-1,24.6218557,24.80568566,846010,-1,0,2,4
10101,2011,1,-1,-1,169,4,E92000001,206075,24.21690924,-1,24.12600503,24.30804623,850955,-1,0,2,4
10101,2006,1,-1,-1,169,4,E92000001,166050,25.50319078,-1,25.39746087,25.60920975,651095,-1,0,2,5
10101,2007,1,-1,-1,169,4,E92000001,170760,26.26289036,-1,26.1560661,26.36999511,650195,-1,0,2,5
10101,2008,1,-1,-1,169,4,E92000001,164820,25.11083688,-1,25.00607349,25.21589159,656370,-1,0,2,5
10101,2009,1,-1,-1,169,4,E92000001,169195,25.23716476,-1,25.13332973,25.34128357,670420,-1,0,2,5
10101,2010,1,-1,-1,169,4,E92000001,164815,24.29770829,-1,24.19579075,24.39991695,678315,-1,0,2,5
10101,2011,1,-1,-1,169,4,E92000001,161745,23.61240876,-1,23.51198323,23.71313025,685000,-1,0,2,5
10101,2006,1,-1,-1,169,4,E92000001,198360,21.38940558,-1,21.30606766,21.47298053,927375,-1,0,2,6
10101,2007,1,-1,-1,169,4,E92000001,202825,21.87535389,-1,21.79132393,21.9596169,927185,-1,0,2,6
10101,2008,1,-1,-1,169,4,E92000001,196120,21.1253117,-1,21.04239667,21.2084657,928365,-1,0,2,6
10101,2009,1,-1,-1,169,4,E92000001,201140,21.35051508,-1,21.26788443,21.43337937,942085,-1,0,2,6
10101,2010,1,-1,-1,169,4,E92000001,193920,20.48032444,-1,20.39915918,20.56172922,946860,-1,0,2,6
10101,2011,1,-1,-1,169,4,E92000001,190075,19.95999076,-1,19.87983346,20.04039041,952280,-1,0,2,6
10101,2006,1,-1,-1,169,4,E92000001,237845,17.18539446,-1,17.12263429,17.24833678,1383995,-1,0,2,7
10101,2007,1,-1,-1,169,4,E92000001,243735,17.55585808,-1,17.49266428,17.61923141,1388340,-1,0,2,7
10101,2008,1,-1,-1,169,4,E92000001,239585,17.26875644,-1,17.20595238,17.33174176,1387390,-1,0,2,7
10101,2009,1,-1,-1,169,4,E92000001,253565,18.05954204,-1,17.99599983,18.12325903,1404050,-1,0,2,7
